#V_c,I_c,n
0.05,0.00016,29.0
0.07,0.00038,29.0
0.08,0.00055,29.0
0.09,0.00075,29.0
0.1,0.00098,29.0
0.12,0.0015400000000000001,29.0
0.135,0.00199,29.0
0.15,0.00239,29.0
0.161,0.00267,29.0
0.196,0.00318,29.0
0.213,0.00331,29.0
0.286,0.0034900000000000005,29.0
0.553,0.00352,29.0
0.747,0.0035299999999999997,29.0
1.034,0.00354,29.0
1.567,0.00357,29.0
2.08,0.0036000000000000003,29.0
2.61,0.0036200000000000004,29.0
3.91,0.00368,29.0
4.58,0.00372,29.0
5.5,0.00376,29.0
6.63,0.00382,29.0
7.54,0.00386,29.0
8.7,0.00391,29.0
9.81,0.00396,29.0
10.65,0.00401,29.0
13.09,0.0040999999999999995,29.0
17.8,0.00434,29.0
19.8,0.00443,29.0
0.054,0.00061,26.0
0.074,0.00084,26.0
0.085,0.00116,26.0
0.093,0.00147,26.0
0.109,0.00216,26.0
0.123,0.00281,26.0
0.134,0.00336,26.0
0.143,0.00379,26.0
0.256,0.00435,26.0
0.167,0.00475,26.0
0.195,0.00553,26.0
0.226,0.0059900000000000005,26.0
0.26,0.00625,26.0
0.321,0.00647,26.0
0.352,0.00652,26.0
1.289,0.0067,26.0
2.31,0.0068200000000000005,26.0
3.65,0.00697,26.0
5.05,0.0071200000000000005,26.0
7.53,0.007370000000000001,26.0
9.38,0.00768,26.0
10.93,0.00788,26.0
13.33,0.00826,26.0
15.06,0.0085,26.0
17.65,0.00885,26.0
19.4,0.00908,26.0
0.05,0.00136,26
0.1,0.00549,26
0.15,0.00942,26
0.2,0.011869999999999999,26
0.25,0.0126,26
0.3,0.0132,26
0.35,0.0137,26
0.4,0.0141,26
0.45,0.0145,26
0.5,0.0148,26
0.7,0.0154,26
0.9,0.0155,26
1.1,0.0156,26
1.5,0.0158,26
2.0,0.0159,26
2.5,0.016100000000000003,26
3.0,0.0162,26
4.04,0.0165,26
5.03,0.016800000000000002,26
7.07,0.0174,26
9.09,0.018000000000000002,26
11.03,0.018600000000000002,26
13.09,0.019100000000000002,26
15.02,0.0198,26
17.07,0.0205,26
18.02,0.0209,26
